role,text,emotion,emotion_strength,speed,pause
旁白,北地客栈，大雪封门，却压不住堂中的杀气。,calm,0.4,0.95,0.2
掌柜,客官里边请，外面风雪大，先喝碗热茶暖暖身子。,calm,0.45,1.0,0
侠客,茶就不必了。我来找人。,calm,0.5,1.08,0.1
掌柜,找人？这镇上今夜除了风雪，可没几个活人走动。,calm,0.55,1.0,0
侠客,他欠我一条命，总得有个交代。,angry,0.65,1.1,0.15
旁白,掌柜指尖微颤，却仍把笑脸挂在脸上。,calm,0.4,0.95,0.2
掌柜,江湖恩怨，小店不敢多问。您要住店，我给您留上房。,calm,0.5,1.0,0
侠客,上房可以。但若他今夜不来，我便拆了你这招牌。,angry,0.72,1.12,0.2
旁白,风从门缝灌入，灯火一晃，堂中影子拉得很长。,calm,0.38,0.93,0.25
掌柜,客官说笑。小店做的是生意，最怕见血。,calm,0.48,0.98,0
侠客,怕见血，就别替人藏刀。,angry,0.7,1.1,0.15
旁白,这一夜，注定不会平静。,calm,0.42,0.95,0.3
