role,text
龙宫,方源，你给我出来！
龙宫,你们用不了宿命蛊，也破不了我的杀招。
龙宫,龙宫傲然一笑，宿命谷从来都不能被古仙运用。
龙宫,这一战，我龙宫必当名震北原。
龙宫,方源，你今日插翅难飞。
龙宫,你以为凭那点小聪明，就能逃出我的掌心？
龙宫,北原的风，只会吹散你的野心。
龙宫,我龙宫行事，从不留后患。
龙宫,方源，你欠我的，今日一并还来。
龙宫,这一声长啸，便是你的丧钟。
龙宫,古仙之威，岂是你能揣度？
龙宫,方源，你且接我这一招。
龙宫,今日之后，北原再无人敢提你的名字。
龙宫,龙宫踏前一步，气势如虹。
龙宫,你的宿命，早已写在我的掌纹之中。
龙宫,方源，莫要再挣扎了。
龙宫,这一局，你输定了。
龙宫,龙宫冷哼一声，目光如刀。
龙宫,方源，你还有什么话要说？
龙宫,北原龙宫，从不言败。
龙宫,方源，你的路到此为止。
龙宫,这一掌落下，便是终章。
龙宫,龙宫仰天长笑，声震四野。
龙宫,方源，你可曾后悔过？
龙宫,北原夜色深沉，杀机暗藏。
龙宫,我龙宫今日，便要改写宿命。
龙宫,方源，你逃不掉的。
龙宫,这一战，注定载入史册。
龙宫,龙宫目光如炬，威压全场。
龙宫,方源，你还有什么底牌？
龙宫,北原龙宫，名不虚传。
